#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
490300000,-233762.9473775262,64955.42000311613,-168807.52737441007,295.2733138016545,302.3327889581122,229
490305000,-233843.2687289461,65256.17920577654,-168587.08952316956,296.640500195363,301.16811421717864,229
490310000,-233378.31708854437,65840.92326113547,-167537.3938274089,299.29862040986353,302.68902694767644,229
490315000,-233238.8071294492,65672.78438415116,-167566.02274529805,298.53429738056644,303.44157555983094,229
490320000,-234504.71084495052,65805.31222856953,-168699.398616381,299.1367403451493,300.6583886297931,229
490325000,-234122.5378512249,65638.37560419913,-168484.16224702576,298.377882496638,302.1325402758351,229
490330000,-233593.78187027108,65068.74999030674,-168525.03187996434,295.78848745258716,302.69430407535805,230
490335000,-234362.85601308732,65789.99377452934,-168572.86223855798,299.0671059607277,300.30471709883415,230
490340000,-233028.59951513587,65619.13381606771,-167409.46569906815,298.29041348258556,303.77437151113276,230
490345000,-233143.68653182685,65826.04400749743,-167317.64252432942,299.23098253563546,302.2596851552873,230
490350000,-233505.9241879899,65392.46921697189,-168113.454971018,297.2600451577663,302.2615294991287,229
490355000,-233605.33298691385,65621.03475224873,-167984.29823466513,298.29905472800385,302.9866130524814,229
490360000,-234020.54046733002,65299.32143886521,-168721.2190284648,296.8366154714753,302.7304809940453,229
490365000,-234386.95691851783,65668.23365036596,-168718.72326815187,298.51361072739843,300.4927467885908,230
490370000,-233798.5926278578,65932.0480668096,-167866.5445610482,299.7128541002875,301.52842292298584,230
490375000,-234027.28701738105,65617.48275592667,-168409.80426145438,298.28290811969043,301.8716370221944,230
490380000,-233095.416591448,65980.71686790648,-167114.69972354153,299.9340919612379,301.3131286878583,230
490385000,-234268.0233213331,65665.22295068097,-168602.80037065214,298.49992473671733,302.2093727218145,230
490390000,-234197.23730510357,65804.72879314446,-168392.5085119591,299.1340881736855,303.1887787941862,230
490395000,-233649.4535517285,64392.49644791533,-169256.95710381318,292.7143848692702,301.8095737372797,230
490400000,-232941.27646326786,65650.94426971988,-167290.33219354798,298.4350169361998,302.6202108060585,230
490405000,-232753.69803624065,65639.86625610926,-167113.83178013138,298.3846586783517,304.2128787428778,230
490410000,-233775.99332618993,64653.42423522938,-169122.56909096055,293.900506249433,302.55030495525875,230
490415000,-233137.23754258384,65638.20190689148,-167499.03563569236,298.3770929061831,302.1773792737736,230
490420000,-233742.91152226785,65648.91999145609,-168093.99153081176,298.4258150043059,303.576499625201,230
490425000,-233454.9493158285,65469.86699255579,-167985.0823232727,297.6118787334161,304.2505273558885,230
490430000,-232843.45882148365,65717.68875760073,-167125.77006388293,298.7384229662682,303.0803497284472,230
490435000,-233249.8357462734,65556.26114045526,-167693.57460581814,298.00460787506626,302.64877716337844,230
490440000,-233002.90620670305,65634.9625050053,-167367.94370169775,298.3623672846781,302.22686638520236,230
490445000,-234064.2976238276,65153.080260769115,-168911.21736305847,296.1718346530521,301.2194628232369,230
490450000,-233946.662680408,65109.83040823985,-168836.83227216813,295.9752301622007,300.6285533831142,230
490455000,-234337.3012673559,65547.77262427122,-168789.5286430847,297.9660209133808,302.4668038286338,230
490460000,-233684.2818342594,65827.79249684035,-167856.48933741904,299.23893079064493,301.0920214520537,230
490465000,-232898.76307189395,65595.82371471124,-167302.9393571827,298.18445079506466,303.2600885520604,230
490470000,-234529.2224959873,65390.638828265364,-169138.58366772195,297.25172460593404,298.856559155536,230
490475000,-234003.24835684756,65627.62720502465,-168375.6211518229,298.32902259484445,301.3195482503159,230
490480000,-233312.73091535084,66049.89490789827,-167262.83600745257,300.24856039373674,303.28372735339633,230
490485000,-232917.67936584237,66365.72685804474,-166551.95250779763,301.68426424292613,304.14004671655135,230
490490000,-233614.86531844316,65147.69380256347,-168467.1715158797,296.147348977123,301.33930378247425,230
490495000,-234260.27156893443,65913.45985595067,-168346.81171298376,299.6283561073918,300.3540512741773,230
490500000,-233653.087164209,65596.18332391977,-168056.90384028922,298.1860855008779,302.7047494170204,230
490505000,-233727.21027684212,66179.80030801636,-167547.40996882576,300.8390822927832,301.36232994722405,230
490510000,-232853.53057122068,65541.81426886539,-167311.7163023553,297.9389355162669,301.83534459604203,230
490515000,-232975.00210168096,66208.1868447524,-166766.81525692856,300.96812135940763,302.8486866222769,230
490520000,-233361.53027059603,65743.49198371789,-167618.03828687815,298.8557188606219,303.01329644534474,230
490525000,-233339.34909843863,65577.68223757099,-167761.66686086764,298.1019835571929,302.9654290696003,230
490530000,-234224.76433018642,65389.25135504478,-168835.51297514164,297.24541745226406,301.9495531172578,230
490535000,-234780.83660900267,65180.385436704615,-169600.45117229805,296.2959580869707,302.555053114658,230
490540000,-234175.3192048394,65797.23253566622,-168378.0866691732,299.10001180582265,302.3893308701669,230
490545000,-233836.07341091568,65932.50655245682,-167903.56685845886,299.714938277041,301.605645660914,230
490550000,-233104.5708946744,65192.10031480683,-167912.47057986757,296.34921139328225,302.5948372125915,230
490555000,-234138.0695073933,66319.26347858948,-167818.8060288038,301.4730517525516,302.27717116598245,230
490560000,-233739.48318010755,65349.63265241869,-168389.85052768886,297.0653193848147,301.11776980307576,230
490565000,-233533.5886403371,65860.18918835046,-167673.39945198665,299.3861991549776,301.84531722616583,230
490570000,-233004.21589627303,66106.27227870759,-166897.94361756544,300.5048397481231,303.38003430625685,230
490575000,-234336.7812219262,65592.6229889507,-168744.15823297552,298.16990098687563,301.351793027536,230
490580000,-234183.41855458356,65719.80316341534,-168463.61539116822,298.7480345985473,302.29972980666207,230
490585000,-234178.67521686712,65959.65785906807,-168219.01735779905,299.8383622542359,303.59327627164197,230
490590000,-233507.21783341886,65573.15356349858,-167934.0642699203,298.08139718271605,303.30450007664547,230
490595000,-233582.96205996908,65522.77805754577,-168060.1840024233,297.85240101001165,303.75738781701926,230
490600000,-233467.47243296355,65536.8308267231,-167930.64160624045,297.91628186434036,302.9656790772251,230
490605000,-233893.5726964255,65714.58277172118,-168178.9899247043,298.72430382512135,301.9781297150456,230
490610000,-234861.3215345894,65702.35671449068,-169158.9648200987,298.6687268088693,303.1761168359451,230
490615000,-234032.30624078703,65549.27468982968,-168483.03155095736,297.9728489790753,302.80307380928605,230
490620000,-234284.93561992026,65461.96526034782,-168822.97035957244,297.5759591649843,302.83990936822676,230
490625000,-233459.72483241674,64921.152349354,-168538.57248306274,295.1175404469127,303.20944691016666,230
490630000,-231677.22239041212,65951.86003868631,-165725.3623517258,299.8029150465288,304.66391189613694,230
490635000,-233232.47801101487,65380.25547182374,-167852.22253919113,297.204524109582,301.84317595498015,230
490640000,-233695.40533082373,65989.12418124662,-167706.28114957712,299.97230979232876,300.9996095601052,230
490645000,-233789.74807351758,65472.929155440244,-168316.81891807733,297.62579866468974,302.0638504326193,230
490650000,-233256.74966825545,64834.53948684357,-168422.21018141188,294.7238170758672,302.138240625761,230
490655000,-232948.61398874735,65253.93987599289,-167694.67411275447,296.63032068569504,303.677896339919,230
490660000,-233277.59777410422,65830.62630385405,-167446.97147025017,299.25181266543797,302.6469754272209,230
490665000,-233577.8170674492,66052.26670629648,-167525.55036115274,300.2593420771232,301.55081158604366,230
490670000,-232870.5269892614,65499.00454156543,-167371.52244769596,297.74433173967367,301.85450375366156,230
490675000,-233944.08075364516,65187.45287746005,-168756.6278761851,296.3280851466041,299.8666224041476,230
