#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
235000,-232537.9264629723,65490.597961269435,-167047.32850170287,297.70611724084324,301.2931044437642,214
240000,-232905.8439291271,64819.96164880163,-168085.88228032546,294.65754937185574,301.13842024889675,214
245000,-232202.51703983336,64989.9891186138,-167212.52792121956,295.43045753635283,303.4099697100103,214
250000,-231415.92854052363,65429.49985638156,-165986.42868414207,297.4283784486627,303.23520346504563,214
255000,-232964.09400747018,65596.30632275366,-167367.78768471652,298.18664462701815,301.0457454331339,214
260000,-233422.73845141404,65176.07435387444,-168246.66409753961,296.2763608352975,301.06139128921086,214
265000,-233608.9979994623,65186.10495818395,-168422.89304127835,296.32195779662516,300.265345315927,214
270000,-231655.68893202348,65698.75721546425,-165956.93171655922,298.6523642635188,302.1659723261649,214
275000,-232795.77943959646,65783.39185907925,-167012.3875805172,299.0370950786135,302.5823273151989,214
280000,-232765.74290725845,64931.79656963679,-167833.94633762166,295.1659267739595,301.91547457200704,214
285000,-232698.20083136368,66176.95954934997,-166521.2412820137,300.826168817278,302.14553181726745,214
290000,-231973.4462430682,65161.49996486073,-166811.94627820747,296.2101088098236,302.87581714154254,214
295000,-232350.08856137563,64791.17047563114,-167558.9180857445,294.52667091537154,301.4918592189311,214
300000,-232645.58816773375,65880.25164584187,-166765.33652189188,299.47739875473707,301.0651391585788,214
305000,-232278.90300223115,65462.32523784012,-166816.57776439103,297.57759554493595,302.41418708978364,214
310000,-232657.46573327575,66192.00030425258,-166465.46542902317,300.8945408413826,301.6216654260704,214
315000,-232022.96146410075,64960.5876788703,-167062.37378523045,295.2968049397999,301.92016197466165,214
320000,-232875.39097476448,65860.78602884454,-167014.60494591994,299.3889122629906,298.7589478875378,214
325000,-232917.49535147008,65322.45299478294,-167595.04235668713,296.94176652998414,301.0788983682212,214
330000,-232447.73934912658,65260.36225598428,-167187.3770931423,296.65951543838014,302.68194568214403,214
335000,-233030.1951327033,65684.24392004509,-167345.9512126582,298.586389956334,301.90396277236226,214
340000,-232705.4681507093,66012.36928853579,-166693.0988621735,300.0779770308536,300.0671363110703,214
345000,-233100.96356271394,66058.41471825622,-167042.54884445772,300.28728961197953,302.1809602751617,214
350000,-232673.21830332605,65666.93986660801,-167006.27843671804,298.5077294657957,302.5914816715789,214
355000,-232498.0154025911,65817.06884141488,-166680.9465611762,299.19018336859153,302.0426136259767,214
360000,-233013.2884064645,65178.96233212596,-167834.32607433855,296.2894889608407,300.72085251078266,214
365000,-232546.1382307147,64973.859889620915,-167572.2783410938,295.3571375440633,300.55828110889956,214
370000,-231975.8711538813,65498.478934778366,-166477.39221910294,297.7419424447116,301.56135774091683,214
375000,-232179.16719014035,64835.02062275767,-167344.14656738268,294.72600421584315,302.150554548837,214
380000,-232148.42403818737,65553.05801959301,-166595.36601859436,297.990047179262,302.5045465793811,214
385000,-232797.04775175452,65571.97208848514,-167225.07566326938,298.07602645241553,301.14526882123545,214
390000,-232362.85282328306,65231.41256860318,-167131.44025467988,296.5279164105218,301.7128836702706,214
395000,-230834.17405672232,64922.52322532423,-165911.6508313981,295.1237721530662,304.31113383020136,214
400000,-233050.52605631272,66231.91028651281,-166818.61576979992,301.07596300315413,301.98508554882244,214
405000,-232081.15229757573,64880.14738899839,-167201.00490857734,294.93114075115324,303.2015587854486,214
410000,-232460.34502438898,66705.53244456754,-165754.81257982145,303.2289470665625,302.2733581960688,214
415000,-231564.1383571492,65875.32015326887,-165688.81820388034,299.4549812543353,303.09093565067906,214
420000,-232068.46180385188,65304.162732870784,-166764.2990709811,296.8586229486657,301.21364914495155,214
425000,-232859.02026074193,65395.968875913444,-167463.0513848285,297.2759538516489,301.50201279800194,214
430000,-231425.46630509407,65889.21168702474,-165536.25461806933,299.51812916725294,302.74159676731045,214
435000,-233233.27352038235,64591.320546542585,-168641.95297383977,293.61819629043384,302.6768258556518,214
440000,-231723.53823584598,65753.43794238067,-165970.1002934653,298.9009310411167,303.8213553255322,214
445000,-232952.99412266375,66194.72429560739,-166758.26982705636,300.90692351790227,303.3381606402905,214
450000,-232912.3698085479,65670.6010680662,-167241.7687404817,298.5243724970778,302.5687967618441,214
455000,-231814.3760486804,65528.97417038516,-166285.40187829523,297.8805672010806,302.34345196358686,214
460000,-231913.25056230836,65718.10729319183,-166195.14326911652,298.74032553869284,302.362212846066,214
465000,-232920.08466245537,65472.40253512631,-167447.68212732906,297.6234047624534,301.23251567759826,214
470000,-231463.81764642685,65524.47711002064,-165939.3405364062,297.8601245356936,303.85465940937524,214
475000,-232313.721833725,65219.71862353932,-167094.00321018568,296.4747582612826,303.32270532734435,214
480000,-231877.34070279822,65814.07573985093,-166063.2649629473,299.17657737516885,303.4365200353987,214
485000,-231607.15066096908,65420.16504930833,-166186.98561166076,297.3859444313308,302.60161087476075,214
490000,-232267.3694171079,65270.78386289405,-166996.58555421385,296.7068898131011,301.63599632764027,214
495000,-233181.9711485617,66171.50133878866,-167010.46980977303,300.8013569706332,302.44138866602066,214
500000,-232821.18611192843,65045.706499709515,-167775.47961221891,295.6837367200098,303.5539554557644,214
505000,-232261.75372762256,66139.35802471288,-166122.39570290968,300.65524040540646,304.2422902891571,214
