,0
0,70.774635
1,75.987236
2,73.63462
3,72.02802
4,72.62076
5,75.91674
6,75.033
7,70.86342
8,68.48935
9,74.90121
10,72.265945
11,72.372574
12,71.48429
13,72.99118
14,67.942604
15,76.46063
16,70.08817
17,71.12498
18,58.6264
19,72.75352
20,72.32648
21,74.071434
22,67.02568
23,59.78684
24,69.86545
25,49.30923
26,49.487846
27,25.817806
28,25.909178
29,26.299269
30,28.182463
31,28.755424
32,34.86698
33,30.938303
34,39.871723
35,17.364567
36,22.808647
37,3.677533
38,4.1733127
39,2.0894072
40,1.8048526
41,0.7639732
42,6.9836707
43,4.633136
44,4.6386285
45,3.2679284
46,4.816002
47,7.205726
48,2.8969302
49,8.104696
50,0.86108243
51,-2.5843682
52,-0.61843514
53,-3.004045
54,-2.2796636
55,-0.803405
56,-3.3003242
57,-4.634126
58,-4.3528523
59,-2.3907578
60,-3.6769989
61,-3.6905186
62,-0.46181506
63,-3.131672
64,0.1180213
65,2.062415
66,0.8948056
67,-1.9053353
68,-1.5658326
69,0.6721791
70,0.68118036
71,1.3777801
72,0.09996441
73,1.2460945
74,-1.542479
75,-0.51667064
76,-2.407632
77,1.899153
78,2.487347
79,1.1997849
80,1.3289088
81,-0.50952655
82,1.2916427
83,4.219125
84,2.1606011
85,3.9274766
86,5.2413487
87,1.8659061
88,0.7594914
89,2.8396187
90,0.28273413
91,0.25999197
92,-2.5924425
93,0.18180446
94,-0.75199705
95,-3.7869418
96,-3.6705499
97,-0.011852025
98,1.2227446
99,0.6586779
100,0.5866182
101,-6.199738
102,-6.2267585
103,-2.3204162
104,2.2255025
105,3.6115174
106,-0.085373506
107,-2.2095056
108,-2.6408694
109,-1.3627392
110,-2.0104675
111,-2.8710074
112,2.3566425
113,-1.1879804
114,5.09278
115,12.567308
116,1.9348079
117,3.1150837
118,-1.8665009
119,4.187934
120,2.6206522
121,1.4361175
122,3.6962268
123,8.127931
124,5.3975096
125,5.1937284
126,8.5677805
127,4.4898953
128,3.9773793
129,3.7269084
130,2.5395877
131,5.593513
132,3.4901118
133,5.9949503
134,6.9880705
135,5.8750386
136,4.8548903
137,6.998
138,7.992069
139,6.7197256
140,8.427538
141,4.6517005
142,3.5502646
143,0.8869294
144,-1.5902104
145,-0.40156955
146,2.0181124
147,-1.2360451
148,-5.3371205
149,2.2725282
150,0.43501273
151,2.546824
152,0.7052658
153,1.1778421
154,-0.06361096
155,3.284266
156,-0.3134033
157,1.7036202
158,0.88052905
159,1.8604083
160,-1.9080616
161,3.8189175
162,0.008863271
163,-2.3479247
164,3.0988338
165,0.43917856
166,-1.1484671
167,1.0082854
168,1.8467029
169,0.12393119
170,0.5128197
171,1.1815431
172,0.6328528
173,2.2407923
174,-0.33178276
175,-2.587852
176,-0.42783013
177,-3.1885211
178,-2.443467
179,1.8339738
180,-3.3867235
181,-1.9412692
182,-2.4167237
183,-1.6734545
184,-5.4063177
185,-0.32048678
186,1.0828044
187,-0.88146704
188,2.624396
189,0.9927766
190,0.44380188
191,1.0762231
192,3.4955542
193,1.444602
194,0.34082296
195,3.4568114
196,-1.303607
197,-0.35558322
198,-3.2263515
199,-2.659892
200,-2.109114
201,-5.481053
202,-7.3114023
203,-7.6917987
204,-4.5073256
205,-8.292156
206,-5.4159975
207,-6.737103
208,-4.73395
209,-5.4311795
210,-8.845966
211,-5.0082226
212,-4.349556
213,-6.872225
214,-5.306677
215,-6.1810603
216,-6.689118
217,-7.2657247
218,-5.7534266
219,-7.2061224
220,-8.702451
221,-8.712741
222,-6.3444457
223,-3.1500416
224,-2.8828523
225,-5.414619
226,-4.6101527
227,-5.5573263
228,-4.51329
229,-0.9417343
230,-1.5162311
231,-4.81778
232,-4.6434464
233,-7.411729
234,-7.88318
235,-8.600192
236,-6.242499
237,-7.362688
238,-6.594713
239,-7.277712
240,-4.7870293
241,-7.7936883
242,-5.7619605
243,-8.219977
244,-6.2872686
245,-8.900126
246,-10.60788
247,-7.018703
248,-6.1697717
249,-6.928523
250,-6.395044
251,-7.2924557
252,-8.673937
253,-6.1452975
254,-5.034119
255,-7.3848615
256,-6.975729
257,-6.641141
258,-8.27168
259,-8.496135
260,-8.909457
261,-7.8631315
262,-7.3907604
263,-5.2239246
264,-7.3320794
265,-7.176663
266,-8.572632
267,-9.217275
268,-11.267421
269,-6.0098386
270,-6.907928
271,-8.498794
272,-6.705158
273,-7.839491
274,-6.670196
275,-8.331037
276,-9.372728
277,-9.58102
278,-9.420547
279,-7.695942
280,-6.6038523
281,-8.338339
282,-11.01329
283,-10.86121
284,-8.631005
285,-10.243247
286,-4.418215
287,-6.9511447
288,-8.001019
289,-6.059838
290,-6.9141107
291,-7.106696
292,-8.8603525
293,-9.317232
294,-8.447235
295,-12.368084
296,-10.336561
297,-9.438984
298,-10.554455
299,-9.916021
300,-7.608585
301,-10.913118
302,-7.9791756
303,-10.122987
304,-8.394053
305,-9.825237
306,-7.7375846
307,-8.465593
308,-8.857613
309,-8.195925
310,-7.5731716
311,-8.521306
312,-9.05248
313,-10.190319
314,-9.669859
315,-6.452338
316,-6.8223352
317,-9.932087
318,-4.066506
319,-8.527
320,-7.6633096
321,-8.315771
322,-10.072221
323,-8.753459
324,-6.5916214
325,-7.0074835
326,-7.607952
327,-8.2768955
328,-7.373206
329,-5.513116
330,-8.037341
331,-4.8223014
332,-8.939108
333,-5.547079
334,-6.0595493
335,-7.3682337
336,-9.474496
337,-10.498132
338,-7.70621
339,-8.946524
340,-11.5878105
341,-9.9523735
342,-10.973725
343,-8.644776
344,-9.4697
345,-8.368007
346,-7.636896
347,-6.9089966
348,-9.671904
349,-9.940845
350,-8.3650675
351,-8.963035
352,-7.509238
353,-7.77881
354,-8.229904
355,-7.516601
356,-10.110965
357,-7.684282
358,-9.345631
359,-9.923679
360,-7.7758474
361,-7.802697
362,-9.558412
363,-7.166744
364,-9.192618
365,-4.416607
366,-11.780563
367,-9.122762
368,-5.8133783
369,-7.477346
370,-6.508428
371,-5.550097
372,-3.119976
373,-8.497567
374,-6.687786
375,-6.198174
376,-5.355272
377,-4.7528234
378,-7.135303
379,-5.8317003
380,-4.921239
381,-6.4863057
382,-9.514303
383,-7.449927
384,-7.1679454
385,-7.773588
386,-8.024111
387,-8.202407
388,-10.104636
389,-10.204484
390,-7.3984423
391,-6.2346387
392,-2.579133
393,-4.921334
394,-4.955882
395,-2.1217203
396,-5.7231526
397,-2.7264912
398,-3.3867784
399,-9.289029
400,-10.7472
401,-11.364267
402,-10.220078
403,-6.2821035
404,-10.272749
405,-7.2687483
406,-12.159211
407,-9.121305
408,-12.226587
409,-12.909208
410,-11.644315
411,-8.023379
412,-9.082306
413,-11.895553
414,-8.873169
415,-12.465016
416,-12.171334
